UserID,Gender,Age,Race,Province,Channel2,RecordDate2,Duration 2
2285956,male,40,black,Limpopo,Channel O,2016/03/20 16:44,2025-09-24T00:19:27.000Z
2285956,male,40,black,Limpopo,Channel O,2016/03/07 11:11,2025-09-24T00:06:54.000Z
159156,None,0,None,None,Cartoon Network,2016/03/06 10:17,2025-09-24T00:00:21.000Z
820685,male,26,indian_asian,Limpopo,ICC Cricket World Cup 2011,2016/02/26 17:08,2025-09-24T00:00:46.000Z
820685,male,26,indian_asian,Limpopo,MK,2016/03/02 05:13,2025-09-24T00:00:20.000Z
820685,male,26,indian_asian,Limpopo,ICC Cricket World Cup 2011,2016/02/27 08:16,2025-09-24T00:00:52.000Z
820685,male,26,indian_asian,Limpopo,ICC Cricket World Cup 2011,2016/02/28 16:38,2025-09-24T00:04:26.000Z
832021,female,32,black,Gauteng,Africa Magic,2016/03/11 10:25,2025-09-24T00:01:54.000Z
832021,female,32,black,Gauteng,Trace TV,2016/03/01 13:13,2025-09-24T00:00:39.000Z
832021,female,32,black,Gauteng,Cartoon Network,2016/03/01 13:11,2025-09-24T00:00:14.000Z
820695,male,33,black,Gauteng,ICC Cricket World Cup 2011,2016/03/03 09:58,2025-09-24T00:04:42.000Z
820695,male,33,black,Gauteng,Supersport Live Events,2016/03/07 19:45,2025-09-24T00:00:00.000Z
939925,male,26,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/29 11:20,2025-09-24T00:16:18.000Z
939925,male,26,indian_asian,Gauteng,Trace TV,2016/03/29 18:36,2025-09-24T00:01:36.000Z
788942,male,32,coloured,Western Cape,Boomerang,2016/02/11 04:31,2025-09-24T00:00:33.000Z
2368852,male,35,black,Mpumalanga,Boomerang,2016/02/19 15:46,2025-09-24T00:00:43.000Z
2368852,male,35,black,Mpumalanga,Channel O,2016/01/01 19:20,2025-09-24T00:03:27.000Z
2368852,male,35,black,Mpumalanga,Cartoon Network,2016/01/01 01:39,2025-09-24T00:00:00.000Z
2368852,male,35,black,Mpumalanga,Trace TV,2016/01/03 20:02,2025-09-24T00:03:27.000Z
2368852,male,35,black,Mpumalanga,CNN,2016/01/04 10:06,2025-09-24T00:00:44.000Z
2368852,male,35,black,Mpumalanga,Africa Magic,2016/01/03 04:23,2025-09-24T00:00:00.000Z
2368852,male,35,black,Mpumalanga,Boomerang,2016/01/15 13:34,2025-09-24T00:01:25.000Z
2368852,male,35,black,Mpumalanga,Africa Magic,2016/01/07 03:53,2025-09-24T00:00:00.000Z
2368852,male,35,black,Mpumalanga,Cartoon Network,2016/02/01 14:39,2025-09-24T00:11:11.000Z
2368852,male,35,black,Mpumalanga,Vuzu,2016/01/03 21:20,2025-09-24T00:00:13.000Z
2368852,male,35,black,Mpumalanga,Channel O,2016/01/21 20:26,2025-09-24T00:14:33.000Z
2368852,male,35,black,Mpumalanga,Africa Magic,2016/02/01 11:39,2025-09-24T00:08:03.000Z
2368852,male,35,black,Mpumalanga,Vuzu,2016/01/15 18:55,2025-09-24T00:01:40.000Z
2368852,male,35,black,Mpumalanga,MK,2016/03/23 06:07,2025-09-24T00:00:15.000Z
2368852,male,35,black,Mpumalanga,E! Entertainment,2016/03/07 17:34,2025-09-24T00:03:48.000Z
2368852,male,35,black,Mpumalanga,SawSee,2016/03/10 10:32,2025-09-24T00:09:58.000Z
869202,female,36,None,Mpumalanga,CNN,2016/03/13 06:28,2025-09-24T00:00:00.000Z
832036,male,46,black,Mpumalanga,Boomerang,2016/01/28 16:35,2025-09-24T00:11:08.000Z
788945,male,33,black,Free State,Africa Magic,2016/02/14 01:31,2025-09-24T00:01:01.000Z
809249,male,38,black,Kwazulu Natal,Channel O,2016/02/20 17:17,2025-09-24T00:12:15.000Z
809249,male,38,black,Kwazulu Natal,Channel O,2016/02/17 05:48,2025-09-24T00:01:30.000Z
809249,male,38,black,Kwazulu Natal,Africa Magic,2016/02/28 21:15,2025-09-24T00:16:53.000Z
866478,male,31,white,Western Cape,Supersport Live Events,2016/03/11 16:58,2025-09-24T00:00:44.000Z
793835,male,30,white,Free State,M-Net,2016/01/17 23:22,2025-09-24T00:00:12.000Z
98046,male,31,black,Kwazulu Natal,Africa Magic,2016/01/04 20:41,2025-09-24T00:00:14.000Z
98046,male,31,black,Kwazulu Natal,Trace TV,2016/01/07 20:15,2025-09-24T00:06:33.000Z
98046,male,31,black,Kwazulu Natal,Channel O,2016/01/13 18:36,2025-09-24T00:02:48.000Z
100538,None,0,None,None,Supersport Live Events,2016/03/24 14:25,2025-09-24T01:32:30.000Z
2368945,female,42,coloured,Western Cape,ICC Cricket World Cup 2011,2016/02/20 03:54,2025-09-24T00:00:28.000Z
2368945,female,42,coloured,Western Cape,ICC Cricket World Cup 2011,2016/03/03 07:04,2025-09-24T02:09:56.000Z
1385756,female,34,black,Western Cape,M-Net,2016/01/17 09:31,2025-09-24T00:03:48.000Z
1385756,female,34,black,Western Cape,SawSee,2016/01/04 23:20,2025-09-24T00:13:15.000Z
530495,female,30,black,Gauteng,SawSee,2016/01/09 17:20,2025-09-24T00:00:17.000Z
789004,male,36,None,Northern Cape,Africa Magic,2016/02/22 19:17,2025-09-24T00:02:09.000Z
789004,male,36,None,Northern Cape,Channel O,2016/02/04 08:25,2025-09-24T00:17:21.000Z
789004,male,36,None,Northern Cape,SuperSport Blitz,2016/02/07 13:59,2025-09-24T00:02:20.000Z
789004,male,36,None,Northern Cape,Africa Magic,2016/02/10 19:42,2025-09-24T00:01:29.000Z
789004,male,36,None,Northern Cape,Boomerang,2016/02/04 12:23,2025-09-24T00:00:51.000Z
789004,male,36,None,Northern Cape,Africa Magic,2016/02/09 10:58,2025-09-24T00:00:34.000Z
789004,male,36,None,Northern Cape,Supersport Live Events,2016/02/12 11:54,2025-09-24T00:02:58.000Z
789004,male,36,None,Northern Cape,Africa Magic,2016/02/23 12:03,2025-09-24T00:02:03.000Z
2216346,female,48,coloured,Western Cape,Boomerang,2016/02/13 20:57,2025-09-24T00:03:24.000Z
