USERID;AGE;GENDER;PROVINCE;AGE_BUCKETS;RACE
809717;28;male;Kwazulu Natal;Youth;black
809718;17;female;Eastern Cape;Teens;black
809723;27;male;Gauteng;Youth;black
809726;31;male;Limpopo;Youth;indian_asian
809727;26;male;Limpopo;Youth;indian_asian
809731;43;male;Eastern Cape;Adults;black
809733;38;male;Gauteng;Adults;black
809737;39;male;Eastern Cape;Adults;black
809739;40;male;Eastern Cape;Adults;black
809741;27;male;Mpumalanga;Youth;black
809744;29;male;Kwazulu Natal;Youth;indian_asian
809752;31;male;Western Cape;Youth;black
809754;32;male;Mpumalanga;Youth;indian_asian
809756;27;male;Free State;Youth;black
809759;37;male;Limpopo;Adults;indian_asian
809765;37;male;Western Cape;Adults;coloured
809770;29;male;Gauteng;Youth;black
809776;27;male;Gauteng;Youth;black
809780;32;male;Western Cape;Youth;coloured
809781;29;male;Western Cape;Youth;coloured
809786;33;male;Mpumalanga;Youth;Unknown
809787;34;female;Kwazulu Natal;Youth;black
809790;40;male;Limpopo;Adults;black
809795;24;male;Kwazulu Natal;Youth;coloured
809798;29;male;Kwazulu Natal;Youth;Unknown
809799;22;male;Western Cape;Youth;white
809800;48;male;Western Cape;Adults;coloured
809801;35;male;Western Cape;Youth;black
809809;29;female;Kwazulu Natal;Youth;indian_asian
809813;35;male;Western Cape;Youth;black
809817;27;male;Western Cape;Youth;black
809820;25;male;Gauteng;Youth;black
809823;30;male;Gauteng;Youth;black
809824;38;male;Western Cape;Adults;coloured
809825;32;male;Gauteng;Youth;black
809828;40;male;Gauteng;Adults;black
809830;38;female;Mpumalanga;Adults;black
809834;33;male;Gauteng;Youth;black
809841;47;female;Western Cape;Adults;coloured
809853;46;female;Western Cape;Adults;Unknown
809856;24;male;Western Cape;Youth;Unknown
809857;21;male;Mpumalanga;Youth;black
809860;40;male;Kwazulu Natal;Adults;black
809861;28;male;Gauteng;Youth;black
809862;24;male;Limpopo;Youth;black
809866;19;male;Mpumalanga;Teens;black
809871;15;male;Kwazulu Natal;Teens;black
809881;35;male;Mpumalanga;Youth;black
809884;18;male;Gauteng;Teens;coloured
809886;46;male;Western Cape;Adults;coloured
809887;41;male;Gauteng;Adults;black
809889;22;male;Gauteng;Youth;black
809890;52;male;Limpopo;Adults;indian_asian
809892;27;male;Gauteng;Youth;black
809900;27;male;Gauteng;Youth;white
809901;24;male;Gauteng;Youth;black
809903;23;male;Limpopo;Youth;black
809908;9;male;Eastern Cape;Kids;indian_asian
809917;39;male;Western Cape;Adults;coloured
809921;9;male;Limpopo;Kids;white
